YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2018,1,B&E-C,West End,49.28244606637276,-123.13663135193978
2018,1,B&E-C,West End,49.2824792757045,-123.13023674160677
2018,1,B&E-C,West End,49.28298130435697,-123.13526837204566
2018,1,B&E-C,West End,49.283478016090534,-123.13177709327616
2018,1,B&E-C,West End,49.283978353745034,-123.13308244995989
2018,1,B&E-C,West End,49.284983368718336,-123.14059317070897
2018,1,B&E-C,West End,49.2852900097229,-123.13003318452238
2018,1,B&E-C,West End,49.28575337800408,-123.12880844551673
2018,1,B&E-C,West End,49.28608844656695,-123.13790660085148
2018,1,B&E-C,West End,49.28654906888634,-123.14062097439177
2018,1,B&E-C,West End,49.28664611990449,-123.12914621638174
2018,1,B&E-C,West End,49.28697857573233,-123.13930275529412
2018,1,B&E-C,West End,49.28736289626569,-123.13993179880853
2018,1,B&E-C,West End,49.28736793547688,-123.13316986128224
2018,1,B&E-C,West End,49.28762636582216,-123.133847195502
2018,1,B&E-C,West End,49.2879512899791,-123.1322686193209
2018,1,B&E-C,West End,49.288293901343536,-123.12720853975505
2018,1,B&E-C,West End,49.28875679165986,-123.13117601094616
2018,1,B&E-C,West End,49.28896132025591,-123.13166948221202
2018,1,B&E-C,West End,49.29013305784904,-123.13971129400473
2018,1,B&E-C,West End,49.290301951639755,-123.13156614278776
